           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
         177            0            0            0            0  3.69131e-13 -3.12639e-13 -9.71306e-14  -1.7053e-13   0.00290896 -0.000100417  3.45632e-05   0.00290702
         178            0            0            0            0  4.86929e-13 -1.77636e-13 -1.20792e-13 -4.36984e-13   0.00292336 -0.000104722  0.000104722    0.0029196
         179            0            0            0            0  2.76747e-13 -7.10543e-14 -7.81597e-14 -2.55795e-13   0.00294025  -0.00011069  0.000176492   0.00293286
         180            0            0            0            0  3.21869e-13  7.10543e-14  2.84217e-14  3.12639e-13   0.00279079 -0.000108983 -0.000177013   0.00278304
         181            0            0            0            0  5.16852e-13  5.68434e-14  4.66849e-14  5.11591e-13   0.00277993 -0.000105329 -0.000105329   0.00277594
         182            0            0            0            0  1.96553e-13  8.52651e-14  1.05679e-13  1.42109e-13    0.0027701 -0.000102383 -3.48342e-05   0.00276798
         183            0            0            0            0  2.61674e-13  2.13163e-13  1.27898e-13  8.17124e-14    0.0027701 -0.000102383  3.48342e-05   0.00276798
         184            0            0            0            0  3.91057e-13            0  1.63425e-13 -3.55271e-13   0.00277993 -0.000105329  0.000105329   0.00277594
         185            0            0            0            0    1.247e-13  5.68434e-14  7.10543e-14 -8.52651e-14   0.00279079 -0.000108983  0.000177013   0.00278304
         186            0            0            0            0  2.78475e-13  2.27374e-13  1.13687e-13  1.13687e-13     0.002644  -0.00010797 -0.000177321   0.00263584
         187            0            0            0            0  5.01504e-13  3.69482e-13  2.51577e-13 -2.27374e-13   0.00263637 -0.000105819 -0.000105819   0.00263212
         188            0            0            0            0  4.56951e-13  1.13687e-13  2.82059e-13 -3.41061e-13   0.00262973 -0.000103951 -3.50894e-05   0.00262745
         189            0            0            0            0  3.85596e-13  1.98952e-13  3.12639e-13  1.06581e-13   0.00262973 -0.000103951  3.50894e-05   0.00262745
         190            0            0            0            0  5.39685e-13  2.27374e-13  3.76588e-13 -3.12639e-13   0.00263637 -0.000105819  0.000105819   0.00263212
         191            0            0            0            0  3.39577e-13  1.27898e-13   9.9476e-14 -2.98428e-13     0.002644  -0.00010797  0.000177321   0.00263584
         192            0            0            0            0  3.61749e-13  2.27374e-13  1.98952e-13  1.98952e-13   0.00249883 -0.000107411 -0.000177536    0.0024902
         193            0            0            0            0  6.01315e-13  4.54747e-13  3.76643e-13  1.13687e-13   0.00249283  -0.00010618  -0.00010618    0.0024883
         194            0            0            0            0  5.57414e-13   1.7053e-13  4.54747e-13  2.73559e-13   0.00248818 -0.000105074 -3.52811e-05   0.00248571
         195            0            0            0            0  6.24955e-13  3.12639e-13  5.25802e-13 -1.27898e-13   0.00248818 -0.000105074  3.52811e-05   0.00248571
         196            0            0            0            0  6.47042e-13  2.55795e-13   4.4148e-13 -3.97904e-13   0.00249283  -0.00010618   0.00010618    0.0024883
         197            0            0            0            0  3.67564e-13  1.13687e-13  1.56319e-13 -3.12639e-13   0.00249883 -0.000107411  0.000177536    0.0024902
         198            0            0            0            0  2.67847e-13  2.41585e-13  7.81597e-14 -8.52651e-14   0.00235459 -0.000107116 -0.000177712   0.00234543
